Ticker,Action,Upside %,Current Price,Fair Value,Rating,WACC,RSI,Tech Signals
AAPL,WAIT,-50.2,248.04,123.42,AAA,9.6%,12.1,OVERSOLD
HPE,BUY,319.7,21.05,88.35,AAA,6.8%,22.8,OVERSOLD
HIG,BUY,204.1,128.62,391.15,AAA,9.1%,23.9,OVERSOLD
MRVL,WAIT,-69.9,80.23,24.13,D,10.5%,24.5,OVERSOLD
JCI,BUY,16.0,113.59,131.8,AAA,9.0%,25.9,OVERSOLD
WFC,WAIT,40.2,86.96,121.95,D,16.5%,26.8,OVERSOLD
FSLR,WAIT,-10.0,242.15,217.84,AAA,9.6%,27.7,OVERSOLD
BAC,BUY,93.8,51.72,100.25,AAA,6.2%,28.1,OVERSOLD
LVS,WAIT,1.6,59.95,60.93,A-,8.4%,28.7,OVERSOLD
INSM,WAIT,-102.4,156.21,-3.77,D,10.0%,29.4,OVERSOLD
JPM,BUY,54.4,297.72,459.77,AAA,6.8%,29.9,OVERSOLD
L,BUY,246.8,101.86,353.25,A+,8.0%,30.8,OVERSOLD
WYNN,BUY,75.9,113.55,199.69,B+,8.3%,31.2,OVERSOLD
COF,WAIT,-17.7,217.3,178.78,D,12.4%,31.7,OVERSOLD + HIGH_VOL
SHOP,WAIT,-73.2,137.89,37.0,AAA,9.7%,31.9,OVERSOLD
ISRG,WAIT,-72.6,523.99,143.45,AAA,9.7%,32.1,OVERSOLD + HIGH_VOL
APP,WAIT,-83.7,524.41,85.65,A+,9.6%,32.2,OVERSOLD
APO,BUY,65.8,136.31,226.07,AAA,8.0%,33.0,OVERSOLD
CCL,BUY,153.8,28.55,72.46,BB,8.2%,33.2,OVERSOLD
SYF,WAIT,15.3,76.61,88.36,D,12.8%,34.1,OVERSOLD + HAMMER + HIGH_VOL
UHS,BUY,452.2,205.09,1132.6,AAA,7.9%,34.6,OVERSOLD
GE,WAIT,,293.87,,AAA,9.4%,35.2,HIGH_VOL
AVGO,WAIT,-81.2,320.05,60.23,AA,9.6%,35.7,None
PRU,BUY,556.5,107.69,706.99,A-,6.8%,36.0,None
AFL,BUY,19.0,107.09,127.39,AAA,8.6%,36.5,None
ATO,WAIT,-48.9,165.34,84.5,AAA,8.3%,36.9,HIGH_VOL
CB,BUY,84.7,300.91,555.91,AAA,8.8%,37.1,None
TEL,WAIT,0.6,223.84,225.18,AAA,9.2%,37.6,HIGH_VOL
HOOD,WAIT,-74.7,106.99,27.02,B-,9.6%,38.8,None
SRE,WAIT,-47.9,85.94,44.8,BBB,8.1%,38.8,None
CINF,BUY,90.5,157.03,299.11,AAA,9.5%,39.1,None
TRV,BUY,213.9,277.72,871.78,AAA,9.0%,39.6,None
ABBV,WAIT,-51.4,219.26,106.62,A-,9.0%,41.5,None
CSCO,WAIT,-21.9,74.59,58.26,AA,9.3%,41.8,None
UAL,BUY,542.5,107.74,692.18,A-,7.1%,42.1,None
TTWO,WAIT,-67.6,245.73,79.71,D,10.6%,42.2,None
C,BUY,354.3,113.59,516.02,AAA,5.6%,42.2,None
WELL,WAIT,-79.3,183.68,38.11,B+,9.4%,42.4,HIGH_VOL
AES,BUY,85.4,14.25,26.42,B-,9.2%,42.4,None
REGN,WAIT,-11.7,753.55,665.07,AAA,9.6%,43.1,None
GEHC,BUY,102.3,79.77,161.36,A,8.5%,43.4,None
EXPE,BUY,73.2,271.14,469.55,AA,8.8%,43.6,None
AXP,WAIT,-4.6,361.69,345.0,CCC,9.8%,43.8,HAMMER
GEV,WAIT,-28.9,657.78,467.95,AAA,9.7%,44.1,None
BIIB,BUY,64.1,171.59,281.55,AAA,8.6%,44.1,None
CPT,WAIT,-74.2,107.86,27.83,BB+,8.8%,44.3,ENGULFING
PLD,WAIT,-90.9,127.15,11.55,A-,8.7%,44.8,None
