ETF,Sector,Weight,Trend,Action,Holdings
XLK,Technology,16.7%,UPTREND,BUY,"AAPL, HPE, MRVL, FSLR, SHOP, AVGO, TEL, CSCO, FTV, NVDA, IBM, JBL, PLTR, ANET, DAY, SNPS, INTC, CTSH, NXPI, LDOS"
XLF,Financial Services,21.7%,UPTREND,BUY,"HIG, WFC, BAC, JPM, L, COF, APO, SYF, PRU, AFL, CB, HOOD, CINF, TRV, C, AXP, STT, WTW, GL, MS, HBAN, GS, AMP, TROW, BK, BLK"
XLI,Industrials,9.2%,UPTREND,WAIT,"JCI, GE, UAL, GEV, DAL, UNP, MMM, HWM, LUV, PNR, XYL"
XLY,Consumer Cyclical,10.0%,UPTREND,WAIT,"LVS, WYNN, CCL, EXPE, GM, APTV, ABNB, F, DHI, TSLA, YUM, PHM"
XLV,Healthcare,19.2%,UPTREND,BUY,"INSM, ISRG, UHS, ABBV, REGN, GEHC, BIIB, A, LLY, MCK, MTD, SOLV, HCA, COO, INCY, HSIC, HUM, DHR, BMY, VRTX, WAT, BDX, IDXX"
XLC,Communication Services,5.0%,UPTREND,BUY,"APP, TTWO, OMC, TKO, DIS, LYV"
XLU,Utilities,5.0%,UPTREND,BUY,"ATO, SRE, AES, XEL, AEP, ES"
XLRE,Real Estate,3.3%,UPTREND,BUY,"WELL, CPT, PLD, VTR"
XLB,Basic Materials,0.8%,UPTREND,WAIT,CRH
XLE,Energy,5.8%,UPTREND,WAIT,"EXE, FANG, APA, TRGP, EQT, OXY, CTRA"
XLP,Consumer Defensive,3.3%,UPTREND,WAIT,"DLTR, PEP, CCEP, TAP"
